# station  n.points  offset  stdev
Ag   31   -0.323   0.126
Bd   88  217.264   0.013
Hh    9    2.198   0.152
Ho   37    2.140   0.047
Ht  281    2.948   0.008
Is  144    0.228   0.030
Ke  105    2.008   0.039
Kk  151    0.531   0.013
Ma  153    0.635   0.007
Mc   33    1.676   0.038
Ns   19    1.879   0.029
Nt   29    2.058   0.854
Ny  144    2.321   0.027
On   42    1.359   0.019
Sa   11    2.027   0.005
Sh   41   10.085   0.041
Sv   85  216.566   0.025
Ur    5    1.470   0.015
Wn   51    2.233   0.025
Ww   55    1.852   0.108
Wz   99    2.152   0.014
Yg  284    2.289   0.022
Ys    7   -0.763   0.361
Zc   71  216.636   0.014
